Title,Keywords,APIName,Description,Namespace,Guid,Type
AnalyticalDistributionNodePropertyData,"AnalyticalDistributionNodePropertyData class, about AnalyticalDistributionNodePropertyData class",T:Autodesk.Revit.DB.Electrical.AnalyticalDistributionNodePropertyData,Represents the data and parameters of electrical analytical node.,Autodesk.Revit.DB.Electrical,08a43b98-428c-2bd4-d1c3-fc425563d67e,class
GetDocument,GeometryInstance.GetDocument method,M:Autodesk.Revit.DB.GeometryInstance.GetDocument,Gets the document that contains the symbol of this instance.,Autodesk.Revit.DB,090ee075-cff2-fd8d-5a1a-6c79a7c50a4b,method
Dispose,SlabShapeEditor.Dispose method,M:Autodesk.Revit.DB.SlabShapeEditor.Dispose,Releases all resources used by the,Autodesk.Revit.DB,093f82df-0da1-1021-1991-83094bc2f19d,method
ApparentLoad,AreaBasedLoadData.ApparentLoad property,P:Autodesk.Revit.DB.Electrical.AreaBasedLoadData.ApparentLoad,The electrical apparent load of the area based load.,Autodesk.Revit.DB.Electrical,0a538386-e10f-be9d-ba3b-c81093006256,property
Dispose,DocumentDifference.Dispose method,M:Autodesk.Revit.DB.DocumentDifference.Dispose,Releases all resources used by the,Autodesk.Revit.DB,0a5c5449-f9f7-48d4-3e85-f96e1dd89f0a,method
ViewportPositioning,ParameterTypeId.ViewportPositioning property,P:Autodesk.Revit.DB.ParameterTypeId.ViewportPositioning,"""Viewport Positioning""",Autodesk.Revit.DB,0ae859ee-09d1-c690-93e5-5f17e0bbc328,property
AnalyticalBusData,Autodesk.Revit.DB.Electrical.AnalyticalBusData class,AllMembers.T:Autodesk.Revit.DB.Electrical.AnalyticalBusData,,Autodesk.Revit.DB.Electrical,0bbff411-009a-d4ad-aada-c0c57acfdaff,class
OrderedViewList,InSessionViewSheetSet.OrderedViewList property,P:Autodesk.Revit.DB.InSessionViewSheetSet.OrderedViewList,Ordered views.,Autodesk.Revit.DB,0bfb7fac-a347-6aeb-c853-1c438cb407cc,property
AnalyticalElementStructuralRole,ParameterTypeId.AnalyticalElementStructuralRole property,P:Autodesk.Revit.DB.ParameterTypeId.AnalyticalElementStructuralRole,"""Structural Role"": Used for Analytical Elements",Autodesk.Revit.DB,0c00a127-b19a-382c-384d-58f56ff512a0,property
GetVertices,TriangulatedShellComponent.GetVertices method,M:Autodesk.Revit.DB.TriangulatedShellComponent.GetVertices,Returns the vertices of the triangulation.,Autodesk.Revit.DB,0c151904-c915-7eda-9939-9e16dbf42133,method
CannotMatchInstanceSizeToHostError,BuiltInFailures.MEPSupportFailures.CannotMatchInstanceSizeToHostError property,P:Autodesk.Revit.DB.BuiltInFailures.MEPSupportFailures.CannotMatchInstanceSizeToHostError,The instance of [Symbol] cannot be re-sized to match the host.,Autodesk.Revit.DB,0c2d09dd-47d6-ca16-dab7-94dbe0f8106e,property
GetSegmentCount,ViewSchedule.GetSegmentCount method,M:Autodesk.Revit.DB.ViewSchedule.GetSegmentCount,Gets the total count of schedule segments.,Autodesk.Revit.DB,0c3b2044-370c-e551-38a8-bdc980dfd64d,method
AnalyticalElementPhysicalAsset,ParameterTypeId.AnalyticalElementPhysicalAsset property,P:Autodesk.Revit.DB.ParameterTypeId.AnalyticalElementPhysicalAsset,"""Physical Material Asset"": Used for Analytical Elements.",Autodesk.Revit.DB,0cc686dd-7bbc-1212-6d69-8b0bc16df7ad,property
IFCExportElement,No enumeration member,T:Autodesk.Revit.DB.IFCExportElement,An enumerated type defining if an element is exported to IFC or not.,Autodesk.Revit.DB,0d321ff5-0373-81e9-dc0e-a0905a5fae8b,member
NoElementsLeftInExistingRelationship,BuiltInFailures.AnalyticalModelFailures.NoElementsLeftInExistingRelationship property,P:Autodesk.Revit.DB.BuiltInFailures.AnalyticalModelFailures.NoElementsLeftInExistingRelationship,There are no elements left in the existing relationship.,Autodesk.Revit.DB,0d4e8bf8-6517-6d43-9b03-c41fe96e6f31,property
IsAutomatic,IViewSheetSet.IsAutomatic property,P:Autodesk.Revit.DB.IViewSheetSet.IsAutomatic,Automatic order or manual order.,Autodesk.Revit.DB,0d6e1c51-111d-87d6-fdb1-b24ddc09ef53,property
SheetDuplicateOption,DuplicateSheetWithViewsAsDependent enumeration member,T:Autodesk.Revit.DB.SheetDuplicateOption,Options for duplicating sheets,Autodesk.Revit.DB,0d924cfe-327d-d3ca-9576-9e3280a1b1a4,member
Dispose,ZoneElementDomainData.Dispose method,M:Autodesk.Revit.DB.Mechanical.ZoneElementDomainData.Dispose,Releases all resources used by the,Autodesk.Revit.DB.Mechanical,0d957f82-66da-1ecb-c9e3-7269268f3a2d,method
ProjectBrowserOptions,Autodesk.Revit.UI.ProjectBrowserOptions class,AllMembers.T:Autodesk.Revit.UI.ProjectBrowserOptions,,Autodesk.Revit.UI,0dd3f084-258d-5b79-a950-b6b02ce30394,class
Thickness,AnalyticalPanel.Thickness property,P:Autodesk.Revit.DB.Structure.AnalyticalPanel.Thickness,"Panel thickness, in the Revit default units.",Autodesk.Revit.DB.Structure,0e03a6fc-1a23-c6aa-0377-a0c42f6028a1,property
STLImportOptions,"STLImportOptions class, about STLImportOptions class",T:Autodesk.Revit.DB.STLImportOptions,The import options used to import STL format files.,Autodesk.Revit.DB,0e42500a-7595-5a1b-27e5-23ef168d1ebf,class
FillPattern,SpecTypeId.Reference.FillPattern property,P:Autodesk.Revit.DB.SpecTypeId.Reference.FillPattern,"Fill Pattern, in discipline Common.",Autodesk.Revit.DB,0f258e86-751f-a5dc-a5a9-8cd0071cf75a,property
AnalyticalToPhysicalAssociationManager,"AnalyticalToPhysicalAssociationManager class, about AnalyticalToPhysicalAssociationManager class",T:Autodesk.Revit.DB.Structure.AnalyticalToPhysicalAssociationManager,Class which manages the associations between analytical elements and physical elements.,Autodesk.Revit.DB.Structure,0f7f395b-3f70-aa6e-e584-b70c11f767ad,class
AreaBasedLoadData,"AreaBasedLoadData class, about AreaBasedLoadData class",T:Autodesk.Revit.DB.Electrical.AreaBasedLoadData,Represents the electrical area based load data.,Autodesk.Revit.DB.Electrical,10433e6e-e655-db35-54a9-cc8034cff631,class
ViewSolarstudyMultidayDatetimeText,ParameterTypeId.ViewSolarstudyMultidayDatetimeText property,P:Autodesk.Revit.DB.ParameterTypeId.ViewSolarstudyMultidayDatetimeText,"""Multi-day date and time text""",Autodesk.Revit.DB,10a3ad3f-fa91-20ce-608a-ad9bc6e8d4d8,property
ViewportCantContainEmptyView,BuiltInFailures.ViewSheetFailures.ViewportCantContainEmptyView property,P:Autodesk.Revit.DB.BuiltInFailures.ViewSheetFailures.ViewportCantContainEmptyView,"Sheet views cannot contain empty view ""%1!s!"".",Autodesk.Revit.DB,10d5a391-7b93-07e1-b295-d87350f991a5,property
AnalyticalPanelThickness,ParameterTypeId.AnalyticalPanelThickness property,P:Autodesk.Revit.DB.ParameterTypeId.AnalyticalPanelThickness,"""Thickness"": Used for Analytical Panel",Autodesk.Revit.DB,1141698e-e548-8113-2d0a-4c2b76af17a4,property
IsValidObject,ReleaseConditions.IsValidObject property,P:Autodesk.Revit.DB.Structure.ReleaseConditions.IsValidObject,Specifies whether the .NET object represents a valid Revit entity.,Autodesk.Revit.DB.Structure,116f0a1c-ef09-46e8-8a87-6455b7f92c7d,property
Parameter,AnalyticalMember.Parameter property,Overload:Autodesk.Revit.DB.Structure.AnalyticalMember.Parameter,,Autodesk.Revit.DB.Structure,11cc55b4-5219-0de0-31c7-8d1017f6f599,property
LayerElemAreaComputed,ParameterTypeId.LayerElemAreaComputed property,P:Autodesk.Revit.DB.ParameterTypeId.LayerElemAreaComputed,"""Area""",Autodesk.Revit.DB,1240bda6-2b95-01a6-85c6-c31c8b4bf3e1,property
ViewSolarstudyStillTimeValue,ParameterTypeId.ViewSolarstudyStillTimeValue property,P:Autodesk.Revit.DB.ParameterTypeId.ViewSolarstudyStillTimeValue,"""Still time""",Autodesk.Revit.DB,1272f2b8-1ea9-bbcd-0e77-cc49023ed2bc,property
AXMImportOptions,,M:Autodesk.Revit.DB.AXMImportOptions.#ctor(Autodesk.Revit.DB.AXMImportOptions),Constructs a new instance of AXMImportOptions as a copy of the provided import options.,Autodesk.Revit.DB,12d27723-6ae2-5dd8-af14-dce4ac1c552e,
SetTessellationSettings,STLExportOptions.SetTessellationSettings method,Overload:Autodesk.Revit.DB.STLExportOptions.SetTessellationSettings,,Autodesk.Revit.DB,13450b59-e14c-0024-c16b-61f3bd2efa08,method
IsValidObject,DeleteWorksetSettings.IsValidObject property,P:Autodesk.Revit.DB.DeleteWorksetSettings.IsValidObject,Specifies whether the .NET object represents a valid Revit entity.,Autodesk.Revit.DB,138df268-7212-b468-9423-0d5c1135a9d5,property
MepLowerBottomElevationIncludeInsulation,ParameterTypeId.MepLowerBottomElevationIncludeInsulation property,P:Autodesk.Revit.DB.ParameterTypeId.MepLowerBottomElevationIncludeInsulation,"""Lower End Bottom of Insulation Elevation""",Autodesk.Revit.DB,14116155-9161-6bff-6f47-a2930bdc46ea,property
Import,,"M:Autodesk.Revit.DB.Document.Import(System.String,Autodesk.Revit.DB.AXMImportOptions,Autodesk.Revit.DB.View)",Imports an AXM file into the document.,Autodesk.Revit.DB,14f9266e-e989-3654-e32a-b4e412846698,
IsValidCategoryForFilterBySheet,ScheduleDefinition.IsValidCategoryForFilterBySheet method,M:Autodesk.Revit.DB.ScheduleDefinition.IsValidCategoryForFilterBySheet,Checks whether a schedule can be filtered by sheet.,Autodesk.Revit.DB,150856e4-938c-b7a6-9c27-5c46d60898b2,method
GetCreatedElementIds,DocumentDifference.GetCreatedElementIds method,M:Autodesk.Revit.DB.DocumentDifference.GetCreatedElementIds,Created element id collection.,Autodesk.Revit.DB,1513d9fe-0282-9074-c2a3-591b9cbed7bf,method
AnalyticalPanel,"AnalyticalPanel class, properties",Properties.T:Autodesk.Revit.DB.Structure.AnalyticalPanel,,Autodesk.Revit.DB.Structure,15932aaf-ef43-aa5c-ebdf-34f753e7d8a7,properties
ToposolidElevationAtBottom,ParameterTypeId.ToposolidElevationAtBottom property,P:Autodesk.Revit.DB.ParameterTypeId.ToposolidElevationAtBottom,"""Elevation at Bottom""",Autodesk.Revit.DB,15dc0394-101f-4b7a-22e9-e7a61b360f8e,property
OBJImportOptions,OBJImportOptions.OBJImportOptions constructor,Overload:Autodesk.Revit.DB.OBJImportOptions.#ctor,,Autodesk.Revit.DB,162469e6-c3bd-6f7c-6e85-bd06899a9a1e,constructor
AddElectricalLoadArea,AreaBasedLoadData.AddElectricalLoadArea method,M:Autodesk.Revit.DB.Electrical.AreaBasedLoadData.AddElectricalLoadArea(Autodesk.Revit.DB.ElementId),Adds electrical load area into the area based load.,Autodesk.Revit.DB.Electrical,16569cca-cbd2-40f8-6323-810037f1111b,method
GetModelToProjectionTransform,TransformWithBoundary.GetModelToProjectionTransform method,M:Autodesk.Revit.DB.TransformWithBoundary.GetModelToProjectionTransform,Gets the model space to view projection space transform.,Autodesk.Revit.DB,1742945f-53f5-1843-8781-6f4c7d363788,method
ChangeHostReference,,"M:Autodesk.Revit.DB.ConnectorElement.ChangeHostReference(Autodesk.Revit.DB.Reference,Autodesk.Revit.DB.Edge)",Changes the connector host reference to a new planar face and a new edge loop.,Autodesk.Revit.DB,1761f9f3-3967-9d02-befb-401d16fd100d,
ShowDialog,IIFCEntityTreeUIServer.ShowDialog method,M:Autodesk.Revit.UI.IIFCEntityTreeUIServer.ShowDialog(Autodesk.Revit.UI.IFCExternalServiceUIData),Shows dialog on managing IFCEntityTreeUI.,Autodesk.Revit.UI,183759b1-f240-4905-223e-5afb5881e03b,method
MepUpperBottomElevation,ParameterTypeId.MepUpperBottomElevation property,P:Autodesk.Revit.DB.ParameterTypeId.MepUpperBottomElevation,"""Upper End Bottom Elevation""",Autodesk.Revit.DB,18454e93-c7c6-507f-bb22-ca5b2e35c9ac,property
ExternalDataInstanceRemovedFromDocumentEventArgs,Autodesk.Revit.DB.Events.ExternalDataInstanceRemovedFromDocumentEventArgs class,AllMembers.T:Autodesk.Revit.DB.Events.ExternalDataInstanceRemovedFromDocumentEventArgs,,Autodesk.Revit.DB.Events,18e8655a-9f28-73a7-7d8a-eb2cf8a12b24,class
DeleteWorksetSettings,"DeleteWorksetSettings class, about DeleteWorksetSettings class",T:Autodesk.Revit.DB.DeleteWorksetSettings,This class represents the settings used to delete a workset.,Autodesk.Revit.DB,1952e14e-42d8-d672-0e72-d5fb1a83b73a,class
GetExternalResourceReferenceExpanded,Element.GetExternalResourceReferenceExpanded method,M:Autodesk.Revit.DB.Element.GetExternalResourceReferenceExpanded(Autodesk.Revit.DB.ExternalResourceType),Gets the collection of ExternalResourceReference associated with a specified external resource type.,Autodesk.Revit.DB,1a28171e-8460-d849-4e7d-9a306a22cd6e,method
ScheduleHeightsOnSheet,"ScheduleHeightsOnSheet class, about ScheduleHeightsOnSheet class",T:Autodesk.Revit.DB.ScheduleHeightsOnSheet,Heights information of a schedule on sheet.,Autodesk.Revit.DB,1af9b0b7-3949-6478-aea8-7e3d04bec24b,class
ViewOrganizationId,InSessionViewSheetSet.ViewOrganizationId property,P:Autodesk.Revit.DB.InSessionViewSheetSet.ViewOrganizationId,to the for non-sheet views.,Autodesk.Revit.DB,1b0df884-d8d4-e55f-f940-6c96fbea125b,property
RebarPropagation,Autodesk.Revit.DB.Structure.RebarPropagation class,AllMembers.T:Autodesk.Revit.DB.Structure.RebarPropagation,,Autodesk.Revit.DB.Structure,1b27c2ef-e744-266b-a9b7-d34d4f1340ce,class
GetAnalyticalPropertyData,ElectricalAnalyticalNode.GetAnalyticalPropertyData method,M:Autodesk.Revit.DB.Electrical.ElectricalAnalyticalNode.GetAnalyticalPropertyData,"Gets the electrical analytical node property data, if not available.",Autodesk.Revit.DB.Electrical,1b6aa6c7-35a8-46cf-8e05-efa5665f8f5d,method
Create,,"M:Autodesk.Revit.DB.Structure.LineLoad.Create(Autodesk.Revit.DB.Document,Autodesk.Revit.DB.ElementId,Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.XYZ,Autodesk.Revit.DB.Structure.LineLoadType)",Creates a new hosted line load within the project.,Autodesk.Revit.DB.Structure,1b88a5e9-03ee-2a20-652d-f68586776dda,
AnalyticalElement,"AnalyticalElement class, properties",Properties.T:Autodesk.Revit.DB.Structure.AnalyticalElement,,Autodesk.Revit.DB.Structure,1bcf37a7-dca8-4c45-dcc4-9b9eb0ad5c19,properties
MaterialTexture,ExternalResourceTypes.BuiltInExternalResourceTypes.MaterialTexture property,P:Autodesk.Revit.DB.ExternalResourceTypes.BuiltInExternalResourceTypes.MaterialTexture,An external resource type representing material texture images.,Autodesk.Revit.DB,1c1b2022-356f-0ad6-6238-dcbe3727c505,property
MepSpotBottomElevationIncludeInsulation,ParameterTypeId.MepSpotBottomElevationIncludeInsulation property,P:Autodesk.Revit.DB.ParameterTypeId.MepSpotBottomElevationIncludeInsulation,"""Spot Bottom of Insulation Elevation""",Autodesk.Revit.DB,1ce8de97-cff9-93f4-14fa-b98a0ceb94a4,property
Create,,"M:Autodesk.Revit.DB.ImportInstance.Create(Autodesk.Revit.DB.Document,Autodesk.Revit.DB.View,Autodesk.Revit.DB.ExternalResourceReference,Autodesk.Revit.DB.OBJImportOptions,Autodesk.Revit.DB.LinkLoadResult@)",Creates a new instance of OBJ link type from an external resource reference and loads the linked file.,Autodesk.Revit.DB,1d3bc841-087f-0b7a-458f-802153229f60,
ToposolidTypeDefaultThicknessParam,ParameterTypeId.ToposolidTypeDefaultThicknessParam property,P:Autodesk.Revit.DB.ParameterTypeId.ToposolidTypeDefaultThicknessParam,"""Default Thickness""",Autodesk.Revit.DB,1d9c8bb3-3965-cbec-242c-c2ceafc57ded,property
NumberOfPhases,AnalyticalDistributionNodePropertyData.NumberOfPhases property,P:Autodesk.Revit.DB.Electrical.AnalyticalDistributionNodePropertyData.NumberOfPhases,The number of phases.,Autodesk.Revit.DB.Electrical,1e6211dd-dde5-39c5-563c-4967431190a9,property
GetCurve,AnalyticalElement.GetCurve method,M:Autodesk.Revit.DB.Structure.AnalyticalElement.GetCurve,Returns the curve of the Analytical Element.,Autodesk.Revit.DB.Structure,1eebc63e-4b20-a2a1-3537-283e2d284ee4,method
CreateElectricalLoadAreas,ElectricalLoadAreaData.CreateElectricalLoadAreas method,"M:Autodesk.Revit.DB.Electrical.ElectricalLoadAreaData.CreateElectricalLoadAreas(Autodesk.Revit.DB.Document,Autodesk.Revit.DB.ElementId,Autodesk.Revit.DB.ElementId)",Creates electrical load areas on all the empty plan circuits of the given level.,Autodesk.Revit.DB.Electrical,1fa518f5-80e2-cae3-a075-ff06625edc32,method
TotalLoad,ElectricalAnalyticalNode.TotalLoad property,P:Autodesk.Revit.DB.Electrical.ElectricalAnalyticalNode.TotalLoad,The Total Connected Load.,Autodesk.Revit.DB.Electrical,1fe925a7-744c-52cc-956f-7590167d1046,property
SplitSegment,ViewSchedule.SplitSegment method,"M:Autodesk.Revit.DB.ViewSchedule.SplitSegment(System.Int32,System.Collections.Generic.IList{System.Double})",Splits the schedule segment by the given heights of new segments.,Autodesk.Revit.DB,1ff6fd89-a9bc-c51e-e8c8-dc808add5af3,method
AnalyticalOpening,"AnalyticalOpening class, about AnalyticalOpening class",T:Autodesk.Revit.DB.Structure.AnalyticalOpening,An element that represents an Opening in an Analytical Panel element.,Autodesk.Revit.DB.Structure,201af27b-c908-83b6-19f2-23d5fa9b69ed,class
Link,,"M:Autodesk.Revit.DB.Document.Link(System.String,Autodesk.Revit.DB.OBJImportOptions,Autodesk.Revit.DB.View)",Links an OBJ file into the project document.,Autodesk.Revit.DB,201f87c1-50c8-2542-d7a5-0dc2b2e706a0,
ViewSolarstudyLightingAltitudeValue,ParameterTypeId.ViewSolarstudyLightingAltitudeValue property,P:Autodesk.Revit.DB.ParameterTypeId.ViewSolarstudyLightingAltitudeValue,"""Lighting altitude""",Autodesk.Revit.DB,2034c327-6476-a6a6-8c5e-ffacdf235a8c,property
Export,,"M:Autodesk.Revit.DB.Document.Export(System.String,System.String,Autodesk.Revit.DB.OBJExportOptions)",Exports a view specified in the export options to the OBJ format.,Autodesk.Revit.DB,203a88aa-d6e1-d96d-7ee0-f67356aae796,
AnalyticalMemberSectionType,ParameterTypeId.AnalyticalMemberSectionType property,P:Autodesk.Revit.DB.ParameterTypeId.AnalyticalMemberSectionType,"""Section Type"": The id of the type from the structural Family assigned to the analytical member.",Autodesk.Revit.DB,205448e3-4201-a9e4-dba2-75b44b3e5c73,property
MepUpperCenterlineElevation,ParameterTypeId.MepUpperCenterlineElevation property,P:Autodesk.Revit.DB.ParameterTypeId.MepUpperCenterlineElevation,"""Upper End Centerline Elevation""",Autodesk.Revit.DB,20704561-7333-818e-b38a-f78ad0e96f0c,property
CreateNotBeginsWithRule,,"M:Autodesk.Revit.DB.ParameterFilterRuleFactory.CreateNotBeginsWithRule(Autodesk.Revit.DB.ElementId,System.String)",Creates a filter rule that determines whether strings from the document do not begin with a certain string value.,Autodesk.Revit.DB,20b48cfb-0d6a-90c9-6a82-6fe841c5c9cb,
Type,BrowserOrganization.Type property,P:Autodesk.Revit.DB.BrowserOrganization.Type,Get BrowserOrganizationType.,Autodesk.Revit.DB,20c64d61-44cb-d40c-eafe-0fb191977514,property
GetPolyloops,EnergyAnalysisSurface.GetPolyloops method,M:Autodesk.Revit.DB.Analysis.EnergyAnalysisSurface.GetPolyloops,Gets the collection of planar polygons describing the surface geometry.,Autodesk.Revit.DB.Analysis,21417a57-3811-d7f8-25c5-c50176bcf801,method
IsValidSectionTypeId,AnalyticalMember.IsValidSectionTypeId method,M:Autodesk.Revit.DB.Structure.AnalyticalMember.IsValidSectionTypeId(Autodesk.Revit.DB.ElementId),Checks whether the family symbol id is allowed for Analytical Member as Section Type property.,Autodesk.Revit.DB.Structure,21bdce0b-2f56-3b30-6ce3-3702c9b0387e,method
CreateBeginsWithRule,,"M:Autodesk.Revit.DB.ParameterFilterRuleFactory.CreateBeginsWithRule(Autodesk.Revit.DB.ElementId,System.String)",Creates a filter rule that determines whether strings from the document begin with a certain string value.,Autodesk.Revit.DB,21ed4118-6602-68d0-252b-7dd58ee88b57,
STLImportOptions,"STLImportOptions class, properties",Properties.T:Autodesk.Revit.DB.STLImportOptions,,Autodesk.Revit.DB,22771185-2155-fc92-9933-e519d4e6a75b,properties
AnalyticalDistributionNodePropertyData,Autodesk.Revit.DB.Electrical.AnalyticalDistributionNodePropertyData class,AllMembers.T:Autodesk.Revit.DB.Electrical.AnalyticalDistributionNodePropertyData,,Autodesk.Revit.DB.Electrical,22aeb525-b015-b42c-e212-0acd5b640616,class
